Country ,1820 to 1829,1830 to 1839,1840 to 1849,1850 to 1859,1860 to 1869,1870 to 1879,1880 to 1889,1890 to 1899,1900 to 1909,1910 to 1919,1920 to 1929,1930 to 1939,1940 to 1949,1950 to 1959,1960 to 1969,1970 to 1979,1980 to 1989,1990 to 1999,2000 to 2009,2010,2011,2012,2013,,,
Japan,,,,,138,193,"1,583","13,998","139,712","77,125","42,057","2,683","1,557","41,968","40,956"," 52,812 "," 44,150 "," 66,582 "," 84,552 "," 7,100 ","6,751"," 6,581 ","6,383",,,
Jordan,,,,,,,,,,,,,3,"4,919","9,230"," 25,541 "," 28,928 "," 42,755 "," 53,550 "," 9,327 ","8,211"," 7,014 ","5,949",,,
Korea,,,,,,,,,,,,,83,"4,845","27,048"," 241,192 "," 322,708 "," 179,770 "," 209,758 "," 22,022 ","22,748"," 20,802 ","22,937",,,
Philippines,,,,,,4,1,19,605,,,457,"4,099","17,245","70,660"," 337,726 "," 502,056 "," 534,338 "," 545,463 "," 56,399 ","55,251"," 55,441 ","52,955",,,
Syria,,,,,2,7,140,,,,"5,307","2,188","1,179","1,091","2,432"," 8,086 "," 14,534 "," 22,906 "," 30,807 "," 7,424 ","7,983"," 6,674 ","3,999",,,
Taiwan,,,,,,,,,,,,,,721,"15,657"," 83,155 "," 119,051 "," 132,647 "," 92,657 "," 6,785 ","6,206"," 5,295 ","5,336",,,
Turkey,19,8,45,94,129,382,"2,478","27,510","127,999","160,717","40,374","1,314",754,"2,980","9,464"," 12,209 "," 19,208 "," 38,687 "," 48,394 "," 7,435 ","9,040"," 7,362 ","7,189",,,
Vietnam,,,,,,,,,,,,,,290,"2,949"," 121,716 "," 200,632 "," 275,379 "," 289,616 "," 30,065 ","33,486"," 27,578 ","26,578",,,
Other Asia,3,1,4,11,57,163,888,"4,381","9,215","7,500","6,070","6,024","7,851","12,675","40,452"," 171,025 "," 483,601 "," 637,116 "," 745,444 "," 112,320 ","122,417"," 122,000 ","107,232",,,
Canada,"2,297","11,875","34,285","64,171","117,975","323,974","492,508","2,668","123,067","708,715","949,286","162,703","160,911","353,169","433,128"," 179,267 "," 156,313 "," 194,788 "," 236,349 "," 19,491 ","19,506"," 20,138 ","20,489",,,
Mexico,"3,835","7,187","3,069","3,446","1,957","5,133","2,405",734,"31,188","185,334","498,945","32,709","56,158","273,847","441,824"," 621,218 "," 1,009,586 "," 2,757,418 "," 1,704,166 "," 138,717 ","142,823"," 145,326 ","134,198",,,
Caribbean,"3,061","11,792","11,803","12,447","8,809","14,592","27,600","31,885","100,960","120,860","83,482","18,052","46,285","115,869","427,843"," 708,643 "," 789,343 "," 1,004,114 "," 1,053,357 "," 139,389 ","133,012"," 126,615 ","121,349",,,
Cuba,,,,,"3,420","8,705","20,134","23,669",,,"12,769","10,641","25,976","73,221","202,030"," 256,497 "," 132,552 "," 159,037 "," 271,742 "," 33,372 ","36,261"," 32,551 ","31,343",,,
Dominican Republic,,,,,,,,,,,,"1,165","4,802","10,219","83,552"," 139,249 "," 221,552 "," 359,818 "," 291,492 "," 53,890 ","46,036"," 41,535 ","41,487",,,
Haiti,,,,,78,149,124,101,,,,207,823,"3,787","28,992"," 55,166 "," 121,406 "," 177,446 "," 203,827 "," 22,336 ","21,802"," 22,446 ","20,083",,,
Jamaica,,,,,61,257,355,223,,,,,,"7,397","62,218"," 130,226 "," 193,874 "," 177,143 "," 172,523 "," 19,439 ","19,298"," 20,300 ","19,052",,,
Other Caribbean,"3,061","11,792","11,803","12,447","5,250","5,481","6,987","7,892","100,960","120,860","70,713","6,039","14,684","21,245","51,051"," 127,505 "," 119,959 "," 130,670 "," 113,773 "," 10,352 ","9,615"," 9,783 ","9,384",,,
Belize,,,,,9,26,80,25,583,40,285,193,433,"1,133","4,185"," 6,747 "," 14,964 "," 12,600 "," 9,682 ", 997 ,933, 875 ,969,,,
